,titles,ratings,votes
0,The Shawshank Redemption,9.3,3200000.0
1,The Godfather,9.2,2200000.0
2,The Dark Knight,9.1,3100000.0
3,The Godfather Part II,9.0,1500000.0
4,12 Angry Men,9.0,974000.0
5,The Lord of the Rings: The Return of the King,9.0,2100000.0
6,Schindler's List,9.0,1600000.0
7,The Lord of the Rings: The Fellowship of the Ring,8.9,2200000.0
8,Pulp Fiction,8.8,2400000.0
9,"The Good, the Bad and the Ugly",8.8,885000.0
10,The Lord of the Rings: The Two Towers,8.8,1900000.0
11,Forrest Gump,8.8,2500000.0
12,Fight Club,8.8,2600000.0
13,Inception,8.8,2800000.0
14,Star Wars: Episode V - The Empire Strikes Back,8.7,1500000.0
15,The Matrix,8.7,2200000.0
16,Goodfellas,8.7,1400000.0
17,Interstellar,8.7,2500000.0
18,One Flew Over the Cuckoo's Nest,8.6,1200000.0
19,Se7en,8.6,2000000.0
20,It's a Wonderful Life,8.6,552000.0
21,The Silence of the Lambs,8.6,1700000.0
22,Seven Samurai,8.6,399000.0
23,Saving Private Ryan,8.6,1600000.0
24,The Green Mile,8.6,1500000.0
25,City of God,8.6,865000.0
26,Life Is Beautiful,8.6,806000.0
27,Terminator 2: Judgment Day,8.6,1300000.0
28,Star Wars: Episode IV - A New Hope,8.6,1600000.0
29,Back to the Future,8.5,1400000.0
30,Spirited Away,8.6,956000.0
31,The Pianist,8.5,1000000.0
32,Gladiator,8.5,1800000.0
33,Parasite,8.5,1100000.0
34,Grave of the Fireflies,8.5,378000.0
35,Psycho,8.5,780000.0
36,The Lion King,8.5,1200000.0
37,Harakiri,8.6,89000.0
38,The Departed,8.5,1500000.0
39,Whiplash,8.5,1100000.0
40,The Prestige,8.5,1600000.0
41,American History X,8.5,1300000.0
42,Léon: The Professional,8.5,1300000.0
43,Spider-Man: Across the Spider-Verse,8.5,509000.0
44,Cinema Paradiso,8.5,315000.0
45,Casablanca,8.5,652000.0
46,The Intouchables,8.5,1000000.0
47,The Usual Suspects,8.5,1200000.0
48,Alien,8.5,1100000.0
49,Django Unchained,8.5,1900000.0
50,Modern Times,8.5,284000.0
51,Rear Window,8.5,566000.0
52,Once Upon a Time in the West,8.5,382000.0
53,City Lights,8.5,215000.0
54,Apocalypse Now,8.4,765000.0
55,WALL·E,8.4,1300000.0
56,Memento,8.4,1400000.0
57,Dune: Part Two,8.4,717000.0
58,Raiders of the Lost Ark,8.4,1100000.0
59,Avengers: Infinity War,8.4,1400000.0
60,The Lives of Others,8.4,441000.0
61,Spider-Man: Into the Spider-Verse,8.4,777000.0
62,Sunset Boulevard,8.4,259000.0
63,Witness for the Prosecution,8.4,160000.0
64,Paths of Glory,8.4,237000.0
65,The Shining,8.4,1200000.0
66,The Great Dictator,8.4,258000.0
67,Inglourious Basterds,8.4,1800000.0
68,12th Fail,8.7,168000.0
69,Aliens,8.4,835000.0
70,High and Low,8.4,70000.0
71,The Dark Knight Rises,8.4,2000000.0
72,Avengers: Endgame,8.4,1400000.0
73,Good Will Hunting,8.4,1200000.0
74,Coco,8.4,696000.0
75,Amadeus,8.4,465000.0
76,Toy Story,8.3,1200000.0
77,Your Name.,8.4,385000.0
78,Das Boot,8.4,286000.0
79,Oldboy,8.3,710000.0
80,Braveheart,8.3,1200000.0
81,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3,549000.0
82,Princess Mononoke,8.3,479000.0
83,3 Idiots,8.4,477000.0
84,American Beauty,8.3,1300000.0
85,Capernaum,8.4,123000.0
86,Singin' in the Rain,8.3,281000.0
87,Joker,8.3,1700000.0
88,Once Upon a Time in America,8.3,406000.0
89,Come and See,8.3,121000.0
90,Star Wars: Episode VI - Return of the Jedi,8.3,1200000.0
91,Requiem for a Dream,8.3,967000.0
92,Toy Story 3,8.3,961000.0
93,Ikiru,8.3,101000.0
